"Time","vaporwave","seapunk","witch house","soft grunge","tumblr aesthetic"
"2004-01-01",0,0,10,0,0
"2004-02-01",0,0,11,0,0
"2004-03-01",0,0,25,0,0
"2004-04-01",0,0,15,0,0
"2004-05-01",0,0,12,0,0
"2004-06-01",0,0,17,0,0
"2004-07-01",0,0,18,0,0
"2004-08-01",0,0,17,0,0
"2004-09-01",0,0,18,0,0
"2004-10-01",0,0,31,0,0
"2004-11-01",0,0,11,0,0
"2004-12-01",0,0,13,0,0
"2005-01-01",0,0,13,0,0
"2005-02-01",0,0,10,0,0
"2005-03-01",0,0,13,0,0
"2005-04-01",0,0,17,0,0
"2005-05-01",0,0,15,0,0
"2005-06-01",0,0,12,0,0
"2005-07-01",0,0,13,0,0
"2005-08-01",0,0,14,0,0
"2005-09-01",0,0,17,0,0
"2005-10-01",0,0,33,0,0
"2005-11-01",0,0,19,0,0
"2005-12-01",0,0,17,0,0
"2006-01-01",0,0,12,0,0
"2006-02-01",0,0,14,0,0
"2006-03-01",0,0,10,0,0
"2006-04-01",0,0,15,0,0
"2006-05-01",0,0,15,0,0
"2006-06-01",0,0,14,0,0
"2006-07-01",0,0,12,0,0
"2006-08-01",0,0,7,0,0
"2006-09-01",0,0,15,0,0
"2006-10-01",0,0,29,0,0
"2006-11-01",0,0,13,0,0
"2006-12-01",0,0,11,0,0
"2007-01-01",0,0,12,0,0
"2007-02-01",0,0,13,0,0
"2007-03-01",0,0,12,0,0
"2007-04-01",0,0,10,0,0
"2007-05-01",0,0,12,0,0
"2007-06-01",0,0,13,0,0
"2007-07-01",0,0,14,0,0
"2007-08-01",0,0,12,0,0
"2007-09-01",0,0,15,0,0
"2007-10-01",0,0,29,0,0
"2007-11-01",0,0,14,0,0
"2007-12-01",0,0,13,0,0
"2008-01-01",0,0,13,0,0
"2008-02-01",0,0,11,0,0
"2008-03-01",0,0,12,0,0
"2008-04-01",0,0,12,0,0
"2008-05-01",0,0,11,0,0
"2008-06-01",0,0,13,0,0
"2008-07-01",0,0,13,0,0
"2008-08-01",0,0,14,0,0
"2008-09-01",0,0,16,0,0
"2008-10-01",0,0,27,0,0
"2008-11-01",0,0,15,0,0
"2008-12-01",0,0,12,0,0
"2009-01-01",0,0,13,0,0
"2009-02-01",0,0,13,0,0
"2009-03-01",0,0,23,0,0
"2009-04-01",0,0,15,0,0
"2009-05-01",0,0,15,0,0
"2009-06-01",0,0,13,0,0
"2009-07-01",0,0,15,0,0
"2009-08-01",0,0,16,0,0
"2009-09-01",0,0,18,0,0
"2009-10-01",0,0,27,0,0
"2009-11-01",0,0,15,0,0
"2009-12-01",0,0,11,0,0
"2010-01-01",0,0,12,0,0
"2010-02-01",0,0,12,0,0
"2010-03-01",0,0,11,0,0
"2010-04-01",0,0,14,0,0
"2010-05-01",0,0,17,0,0
"2010-06-01",0,0,16,0,1
"2010-07-01",0,0,16,0,0
"2010-08-01",0,0,19,1,0
"2010-09-01",0,0,20,0,0
"2010-10-01",0,0,35,0,0
"2010-11-01",0,0,21,0,0
"2010-12-01",0,0,22,0,1
"2011-01-01",0,0,24,0,0
"2011-02-01",0,0,21,0,0
"2011-03-01",0,0,26,0,0
"2011-04-01",0,0,20,0,0
"2011-05-01",0,0,20,0,0
"2011-06-01",0,0,21,0,0
"2011-07-01",0,0,23,0,1
"2011-08-01",0,0,25,0,1
"2011-09-01",0,0,23,0,1
"2011-10-01",0,1,36,0,1
"2011-11-01",0,1,23,0,1
"2011-12-01",0,2,23,0,1
"2012-01-01",0,6,20,0,1
"2012-02-01",0,5,20,0,1
"2012-03-01",0,9,20,0,1
"2012-04-01",0,5,20,0,1
"2012-05-01",0,4,22,1,1
"2012-06-01",0,5,23,2,1
"2012-07-01",0,6,22,2,1
"2012-08-01",0,4,20,3,1
"2012-09-01",1,5,24,8,1
"2012-10-01",1,6,35,7,1
"2012-11-01",3,21,32,7,1
"2012-12-01",2,10,24,9,1
"2013-01-01",2,9,30,12,1
"2013-02-01",1,8,30,11,1
"2013-03-01",1,8,30,10,1
"2013-04-01",2,9,26,10,1
"2013-05-01",2,6,22,12,1
"2013-06-01",3,7,29,12,1
"2013-07-01",2,8,27,12,1
"2013-08-01",3,8,29,12,1
"2013-09-01",2,7,28,12,1
"2013-10-01",5,7,44,12,1
"2013-11-01",3,7,27,12,1
"2013-12-01",4,8,26,14,1
"2014-01-01",5,8,28,13,1
"2014-02-01",5,7,24,12,1
"2014-03-01",5,8,27,12,1
"2014-04-01",6,7,26,13,1
"2014-05-01",8,8,26,13,1
"2014-06-01",18,8,26,12,1
"2014-07-01",22,9,30,13,3
"2014-08-01",17,11,30,14,2
"2014-09-01",19,8,31,11,3
"2014-10-01",18,9,45,11,3
"2014-11-01",16,8,25,11,3
"2014-12-01",21,8,25,13,4
"2015-01-01",20,8,28,13,6
"2015-02-01",20,7,25,11,7
"2015-03-01",22,7,30,11,9
"2015-04-01",23,7,29,10,10
"2015-05-01",26,6,28,10,12
"2015-06-01",26,6,27,9,13
"2015-07-01",30,6,28,11,17
"2015-08-01",31,5,31,11,20
"2015-09-01",34,5,29,9,22
"2015-10-01",37,5,41,9,23
"2015-11-01",40,5,29,8,27
"2015-12-01",40,6,25,8,33
"2016-01-01",46,5,28,8,35
"2016-02-01",59,6,31,8,38
"2016-03-01",58,7,30,8,44
"2016-04-01",73,6,29,7,44
"2016-05-01",74,6,30,7,48
"2016-06-01",77,5,30,6,56
"2016-07-01",62,4,27,6,62
"2016-08-01",67,4,26,5,56
"2016-09-01",81,4,35,5,62
"2016-10-01",88,4,46,4,65
"2016-11-01",89,4,29,5,67
"2016-12-01",91,3,25,5,77
"2017-01-01",100,3,28,5,80
"2017-02-01",97,4,24,4,77
"2017-03-01",90,3,25,4,74
