"Time","witch house"
"2004-01-01",12
"2004-02-01",14
"2004-03-01",30
"2004-04-01",18
"2004-05-01",15
"2004-06-01",21
"2004-07-01",22
"2004-08-01",21
"2004-09-01",22
"2004-10-01",38
"2004-11-01",14
"2004-12-01",16
"2005-01-01",16
"2005-02-01",13
"2005-03-01",16
"2005-04-01",21
"2005-05-01",19
"2005-06-01",14
"2005-07-01",16
"2005-08-01",18
"2005-09-01",21
"2005-10-01",41
"2005-11-01",23
"2005-12-01",20
"2006-01-01",14
"2006-02-01",17
"2006-03-01",12
"2006-04-01",18
"2006-05-01",19
"2006-06-01",17
"2006-07-01",15
"2006-08-01",9
"2006-09-01",18
"2006-10-01",35
"2006-11-01",16
"2006-12-01",13
"2007-01-01",15
"2007-02-01",16
"2007-03-01",15
"2007-04-01",12
"2007-05-01",15
"2007-06-01",16
"2007-07-01",17
"2007-08-01",15
"2007-09-01",18
"2007-10-01",35
"2007-11-01",17
"2007-12-01",16
"2008-01-01",15
"2008-02-01",13
"2008-03-01",15
"2008-04-01",15
"2008-05-01",14
"2008-06-01",16
"2008-07-01",16
"2008-08-01",18
"2008-09-01",19
"2008-10-01",33
"2008-11-01",18
"2008-12-01",15
"2009-01-01",16
"2009-02-01",16
"2009-03-01",28
"2009-04-01",18
"2009-05-01",18
"2009-06-01",16
"2009-07-01",19
"2009-08-01",20
"2009-09-01",22
"2009-10-01",33
"2009-11-01",18
"2009-12-01",14
"2010-01-01",15
"2010-02-01",14
"2010-03-01",14
"2010-04-01",17
"2010-05-01",20
"2010-06-01",20
"2010-07-01",19
"2010-08-01",23
"2010-09-01",25
"2010-10-01",43
"2010-11-01",26
"2010-12-01",27
"2011-01-01",30
"2011-02-01",26
"2011-03-01",31
"2011-04-01",24
"2011-05-01",25
"2011-06-01",26
"2011-07-01",28
"2011-08-01",30
"2011-09-01",28
"2011-10-01",44
"2011-11-01",28
"2011-12-01",29
"2012-01-01",24
"2012-02-01",24
"2012-03-01",24
"2012-04-01",25
"2012-05-01",26
"2012-06-01",28
"2012-07-01",27
"2012-08-01",25
"2012-09-01",29
"2012-10-01",43
"2012-11-01",39
"2012-12-01",30
"2013-01-01",36
"2013-02-01",37
"2013-03-01",37
"2013-04-01",32
"2013-05-01",27
"2013-06-01",36
"2013-07-01",33
"2013-08-01",36
"2013-09-01",34
"2013-10-01",53
"2013-11-01",33
"2013-12-01",31
"2014-01-01",34
"2014-02-01",30
"2014-03-01",33
"2014-04-01",32
"2014-05-01",32
"2014-06-01",32
"2014-07-01",37
"2014-08-01",36
"2014-09-01",38
"2014-10-01",55
"2014-11-01",30
"2014-12-01",31
"2015-01-01",34
"2015-02-01",31
"2015-03-01",36
"2015-04-01",35
"2015-05-01",35
"2015-06-01",33
"2015-07-01",34
"2015-08-01",38
"2015-09-01",36
"2015-10-01",50
"2015-11-01",35
"2015-12-01",30
"2016-01-01",35
"2016-02-01",38
"2016-03-01",37
"2016-04-01",35
"2016-05-01",37
"2016-06-01",36
"2016-07-01",33
"2016-08-01",31
"2016-09-01",43
"2016-10-01",56
"2016-11-01",36
"2016-12-01",31
"2017-01-01",34
"2017-02-01",29
"2017-03-01",30
"2017-04-01",31
"2017-05-01",29
"2017-06-01",32
"2017-07-01",34
"2017-08-01",33
"2017-09-01",34
"2017-10-01",62
"2017-11-01",38
"2017-12-01",31
"2018-01-01",35
"2018-02-01",32
"2018-03-01",30
"2018-04-01",33
"2018-05-01",33
"2018-06-01",41
"2018-07-01",42
"2018-08-01",36
"2018-09-01",38
"2018-10-01",67
"2018-11-01",42
"2018-12-01",34
"2019-01-01",30
"2019-02-01",30
"2019-03-01",29
"2019-04-01",30
"2019-05-01",28
"2019-06-01",31
"2019-07-01",34
"2019-08-01",36
"2019-09-01",39
"2019-10-01",89
"2019-11-01",38
"2019-12-01",36
"2020-01-01",32
"2020-02-01",30
"2020-03-01",31
"2020-04-01",42
"2020-05-01",38
"2020-06-01",34
"2020-07-01",36
"2020-08-01",42
"2020-09-01",46
"2020-10-01",100
"2020-11-01",46
"2020-12-01",37
"2021-01-01",39
"2021-02-01",42
"2021-03-01",38
"2021-04-01",34
"2021-05-01",37
"2021-06-01",40
"2021-07-01",39
"2021-08-01",40
"2021-09-01",43
"2021-10-01",77
"2021-11-01",35
"2021-12-01",32
"2022-01-01",38
"2022-02-01",35
"2022-03-01",33
"2022-04-01",32
"2022-05-01",38
"2022-06-01",33
"2022-07-01",41
"2022-08-01",38
"2022-09-01",42
"2022-10-01",87
"2022-11-01",51
"2022-12-01",31
"2023-01-01",33
"2023-02-01",36
"2023-03-01",38
"2023-04-01",35
"2023-05-01",32
"2023-06-01",31
"2023-07-01",35
"2023-08-01",37
"2023-09-01",43
"2023-10-01",69
"2023-11-01",34
"2023-12-01",32
"2024-01-01",33
"2024-02-01",32
"2024-03-01",39
"2024-04-01",31
"2024-05-01",34
"2024-06-01",35
"2024-07-01",42
"2024-08-01",46
"2024-09-01",50
"2024-10-01",75
"2024-11-01",45
"2024-12-01",42
"2025-01-01",37
"2025-02-01",34
"2025-03-01",35
"2025-04-01",38
"2025-05-01",37
"2025-06-01",35
"2025-07-01",39
"2025-08-01",50
"2025-09-01",62
"2025-10-01",78
"2025-11-01",55
"2025-12-01",45
"2026-01-01",46
"2026-02-01",73
"2026-03-01",50
"2026-04-01",67
"2026-05-01",79
"2026-06-01",55
